STATION_NUMBER,PEARSEDA,PERSEDA_CODE
07JB,Peace - Athabasca,6
07JC,Peace - Athabasca,6
07JD,Peace - Athabasca,6
07JE,Peace - Athabasca,6
07JF,Peace - Athabasca,6
07KA,Peace - Athabasca,6
07KB,Peace - Athabasca,6
07KC,Peace - Athabasca,6
07KD,Peace - Athabasca,6
07KE,Peace - Athabasca,6
07KF,Peace - Athabasca,6
07LA,Lower Mackenzie,7
07LB,Lower Mackenzie,7
07LC,Lower Mackenzie,7
07LD,Lower Mackenzie,7
07LE,Lower Mackenzie,7
07MA,Lower Mackenzie,7
07MB,Lower Mackenzie,7
07MC,Lower Mackenzie,7
07MD,Lower Mackenzie,7
07NA,Lower Mackenzie,7
07NB,Lower Mackenzie,7
07NC,Lower Mackenzie,7
07OA,Lower Mackenzie,7
07OB,Lower Mackenzie,7
07OC,Lower Mackenzie,7
07PA,Lower Mackenzie,7
07PB,Lower Mackenzie,7
07PC,Lower Mackenzie,7
07QA,Lower Mackenzie,7
07QB,Lower Mackenzie,7
07QC,Lower Mackenzie,7
07QD,Lower Mackenzie,7
07RA,Lower Mackenzie,7
07RB,Lower Mackenzie,7
07RC,Lower Mackenzie,7
07RD,Lower Mackenzie,7
07SA,Lower Mackenzie,7
07SB,Lower Mackenzie,7
07SC,Lower Mackenzie,7
07TA,Lower Mackenzie,7
07TB,Lower Mackenzie,7
07UA,Lower Mackenzie,7
07UB,Lower Mackenzie,7
07UC,Lower Mackenzie,7
08AA,Pacific coastal,1
08AB,Pacific coastal,1
08AC,Pacific coastal,1
08BA,Pacific coastal,1
08BB,Pacific coastal,1
08CA,Pacific coastal,1
08CB,Pacific coastal,1
08CC,Pacific coastal,1
08CD,Pacific coastal,1
08CE,Pacific coastal,1
08CF,Pacific coastal,1
08CG,Pacific coastal,1
08DA,Pacific coastal,1
08DB,Pacific coastal,1
08DC,Pacific coastal,1
08EA,Pacific coastal,1
08EB,Pacific coastal,1
08EC,Pacific coastal,1
08ED,Pacific coastal,1
08EE,Pacific coastal,1
08EF,Pacific coastal,1
08EG,Pacific coastal,1
08FA,Pacific coastal,1
08FB,Pacific coastal,1
08FC,Pacific coastal,1
08FD,Pacific coastal,1
08FE,Pacific coastal,1
08FF,Pacific coastal,1
08FG,Pacific coastal,1
08GA,Pacific coastal,1
08GB,Pacific coastal,1
08GC,Pacific coastal,1
08GD,Pacific coastal,1
08GE,Pacific coastal,1
08GF,Pacific coastal,1
08HA,Pacific coastal,1
08HB,Pacific coastal,1
08HC,Pacific coastal,1
08HD,Pacific coastal,1
08HE,Pacific coastal,1
08HF,Pacific coastal,1
08JA,Fraser - lower mainland,2
08JB,Fraser - lower mainland,2
08JC,Fraser - lower mainland,2
08JD,Fraser - lower mainland,2
08JE,Fraser - lower mainland,2
08KA,Fraser - lower mainland,2
08KB,Fraser - lower mainland,2
08KC,Fraser - lower mainland,2
08KD,Fraser - lower mainland,2
08KE,Fraser - lower mainland,2
08KF,Fraser - lower mainland,2
08KG,Fraser - lower mainland,2
08KH,Fraser - lower mainland,2
08LA,Fraser - lower mainland,2
08LB,Fraser - lower mainland,2
08LC,Fraser - lower mainland,2
08LD,Fraser - lower mainland,2
08LE,Fraser - lower mainland,2
08LF,Fraser - lower mainland,2
08LG,Fraser - lower mainland,2
08MA,Fraser - lower mainland,2
08MB,Fraser - lower mainland,2
08MC,Fraser - lower mainland,2
08MD,Fraser - lower mainland,2
08ME,Fraser - lower mainland,2
08MF,Fraser - lower mainland,2
08MG,Fraser - lower mainland,2
08MH,Fraser - lower mainland,2
08NA,Columbia,4
08NB,Columbia,4
08NC,Columbia,4
08ND,Columbia,4
08NE,Columbia,4
08NF,Columbia,4
08NG,Columbia,4
08NH,Columbia,4
08NJ,Columbia,4
08NK,Columbia,4
08NL,Okanagan - Similkameen,3
08NM,Okanagan - Similkameen,3
08NN,Columbia,4
08NP,Columbia,4
08OA,Pacific coastal,1
08OB,Pacific coastal,1
08PA,Fraser - lower mainland,2
09AA,Yukon,5
09AB,Yukon,5
09AC,Yukon,5
09AD,Yukon,5
09AE,Yukon,5
09AF,Yukon,5
09AG,Yukon,5
09AH,Yukon,5
09BA,Yukon,5
09BB,Yukon,5
09BC,Yukon,5
09CA,Yukon,5
09CB,Yukon,5
09CC,Yukon,5
09CD,Yukon,5
09DA,Yukon,5
09DB,Yukon,5
09DC,Yukon,5
09DD,Yukon,5
09EA,Yukon,5
09EB,Yukon,5
09ED,Yukon,5
09FA,Yukon,5
09FB,Yukon,5
09FC,Yukon,5
09FD,Yukon,5
10AA,Lower Mackenzie,7
10AB,Lower Mackenzie,7
10AC,Lower Mackenzie,7
10AD,Lower Mackenzie,7
10BA,Lower Mackenzie,7
10BB,Lower Mackenzie,7
10BC,Lower Mackenzie,7
10BD,Lower Mackenzie,7
10BE,Lower Mackenzie,7
10CA,Lower Mackenzie,7
10CB,Lower Mackenzie,7
