Station,OriginalDrainageArea,HasShapefile,BorderStation,GoesOutsidePDA,FinalArea,Comments
08AB001,16200,Yes,,No ,16200,
08AB002,28500,Yes,,No ,28500,
08AC001,375,Yes,,No ,375,
08AC002,1750,Yes,,No ,1750,
08BB005,16700,Yes,,No ,16700,
08CD001,3550,Yes,,No ,3550,
08CE001,29000,Yes,,No ,29000,
08CF003,50900,Yes,,No ,50900,
08CG001,9500,Yes,,No ,9500,
08DB001,18400,Yes,,No ,18400,
08DB013,26,Yes,,No,26,
08DB014,18,Yes,,No ,18,
08EB004,1880,Yes,,No ,1880,
08EB006,19.1,Yes,,No ,19.1,
08EC013,6760,Yes,,No ,6760,
08ED001,732,Yes,,No ,732,
08ED002,1900,Yes,,No ,1900,
08EE003,2370,Yes,,No ,2370,
08EE004,7340,Yes,,No ,7340,
08EE008,125,Yes,,No ,125,
08EE012,13.2,Yes,,No ,13.2,
08EE013,565,Yes,,No ,565,
08EE020,367,Yes,,No ,367,
08EE025,21.2,Yes,,No,21.2,
08EF001,42300,Yes,,No ,42300,
08EF005,2850,Yes,,No,2850,
08EF006,9.97,Yes,,No ,9.97,
08EG012,370,Yes,,No ,370,
08EG016,104,Yes,,No ,104,
08FA002,3900,Yes,,No ,3900,
08FB004,159,Yes,,No ,159,
08FB006,2550,Yes,,No ,2550,
08FC003,3720,Yes,,No ,3720,
08FE003,556,Yes,,No ,556,
08FF001,1990,Yes,,No,1990,
08FF002,353,Yes,,No ,353,
08FF003,180,Yes,,No ,180,
08GA010,173,Yes,,No ,173,
08GA022,2350,Yes,,No ,2350,
08GA030,179,Yes,,No ,179,
08GA043,965,Yes,,No ,965,
08GA061,3.63,Yes,,No ,3.63,
08GA072,297,Yes,,No ,297,
08GA075,284,Yes,,No ,284,
08GA076,52.8,Yes,,No ,52.8,
08GA077,63,Yes,,No ,63,
08GA079,82.9,Yes,,No ,82.9,
08GB013,147,Yes,,No ,147,
08GC008,NA,Yes,,No ,96.77,
08GD004,5680,Yes,,No ,5680,
08GD008,486,Yes,,No ,486,
08GE002,5780,Yes,,No ,5780,
08GE003,23,Yes,,No ,23,
08GF007,698,Yes,,No ,698,
08HA001,355,Yes,,No ,355,
08HA002,594,Yes,,No ,594,
08HA003,209,Yes,,No,209,
08HA010,578,Yes,,No ,578,
08HA011,826,Yes,,No ,826,
08HA016,15.5,Yes,,No ,15.5,
08HA068,2.88,Yes,,No ,2.88,
08HA070,28,Yes,,No ,28,
08HB002,319,Yes,,No ,319,
08HB006,583,Yes,,No ,583,
08HB008,351,Yes,,No ,351,
08HB011,251,Yes,,No ,251,
08HB014,162,Yes,,No ,162,
08HB023,387,Yes,,No ,387,
08HB032,86.2,Yes,,No ,86.2,
08HB034,676,Yes,,No ,676,
08HB048,10.3,Yes,,No ,10.3,
08HB075,41.1,Yes,,No ,41.1,
08HB084,479,Yes,,No ,479,
08HB086,38.6,Yes,,No ,38.6,
08HB089,86.8,Yes,,No ,86.8,
08HC001,992,Yes,,No ,992,
08HD003,1470,Yes,,No ,1470,
